Offset;Input Attributes: Layout 7 (Per vertex).TEXCOORD3[0];Input Attributes: Layout 7 (Per vertex).TEXCOORD3[1]
4656;0.04923677;0.9610403
4664;0.04997301;0.9603789
4672;0.04955101;0.9607201
4680;0.04865718;0.9609567
4688;0.04845536;0.96051
4696;0.05046207;0.960483
4704;0.0498454;0.960822
4712;0.05035949;0.9610442
4720;0.04959488;0.9613114
4728;0.05007148;0.9616523
4736;0.049209;0.9617182
4744;0.04961425;0.9621575
4752;0.04923475;0.9628971
4760;0.04888505;0.961333
4768;0.04894322;0.9625325
4776;0.04852176;0.9636932
4784;0.04864466;0.9620205
4792;0.04838878;0.9615254
4800;0.04830194;0.9631955
4808;0.04784125;0.9645181
4816;0.04813278;0.9628
4824;0.04774028;0.9637907
4832;0.04694855;0.9654976
4840;0.0481751;0.9610362
4848;0.04796463;0.9622402
4856;0.04763442;0.9632938
4864;0.04694855;0.9645432
4872;0.04592204;0.9655182
4880;0.04585123;0.9661835
4888;0.04782301;0.9616923
4896;0.04755211;0.9629052
4904;0.04694855;0.9638261
4912;0.04605591;0.9645181
4920;0.04465556;0.9654245
4928;0.04442465;0.9661835
4936;0.04746944;0.9623224
4944;0.04694855;0.9633281
4952;0.04615688;0.9637907
4960;0.04504991;0.9644083
4968;0.04320157;0.9650953
4976;0.04273295;0.9658851
4984;0.04694855;0.9629669
4992;0.04626262;0.9632938
5000;0.04537523;0.9636932
5008;0.0438199;0.9640751
5016;0.04199219;0.9643385
5024;0.04139543;0.9649558
5032;0.04265511;0.9634812
5040;0.04146862;0.9635178
5048;0.04079652;0.9638996
5056;0.04430044;0.963389
5064;0.04559517;0.9631955
5072;0.04104578;0.9625371
5080;0.04039633;0.9625622
5088;0.0420413;0.9626182
5096;0.04335487;0.962914
5104;0.04466236;0.9628971
5112;0.04276145;0.962254
5120;0.04389203;0.9624845
5128;0.04173613;0.9616695
5136;0.04094732;0.9617712
5144;0.04495382;0.9625325
5152;0.04428291;0.9621575
5160;0.04336953;0.9619232
5168;0.04239309;0.961446
5176;0.04161501;0.9610373
5184;0.04576433;0.9628
5192;0.046345;0.9629052
5200;0.04382563;0.9616523
5208;0.04303682;0.9612271
5216;0.04468799;0.9617182
5224;0.04525244;0.9620205
5232;0.04593253;0.9622402
5240;0.04642761;0.9623224
5248;0.04222572;0.9608043
5256;0.04694855;0.9623548
5264;0.04740012;0.9617609
5272;0.04769611;0.9611288
5280;0.04550827;0.9615254
5288;0.04607415;0.9616923
5296;0.04649699;0.9617609
5304;0.04694855;0.9617952
5312;0.04733258;0.9611631
5320;0.045012;0.961333
5328;0.04466033;0.9610403
5336;0.04523993;0.9609567
5344;0.04572201;0.9610362
5352;0.04620093;0.9611288
5360;0.04656452;0.9611631
5368;0.04694855;0.9611768
5376;0.04430211;0.9613114
5384;0.04353762;0.9610442
5392;0.04405177;0.960822
5400;0.04289711;0.9605766
5408;0.0434351;0.960483
5416;0.04625648;0.9604818
5424;0.04661357;0.9604801
5432;0.04593217;0.9604895
5440;0.04211855;0.9602145
5448;0.04291236;0.9597663
5456;0.04150283;0.960372
5464;0.0408833;0.9610808
5472;0.04033959;0.9616669
5480;0.04594254;0.9600579
5488;0.04570949;0.9604986
5496;0.04544175;0.96051
5504;0.04626167;0.9600595
5512;0.04565859;0.9600715
5520;0.04519308;0.9605368
5528;0.04541898;0.9600935
5536;0.04494214;0.9605633
5544;0.0451678;0.9601266
5552;0.04594016;0.9597165
5560;0.04626191;0.9597135
5568;0.0456444;0.9597248
5576;0.04662097;0.9600567
5584;0.04662359;0.9597165
5592;0.04694855;0.959717
5600;0.04694843;0.9600614
5608;0.04663241;0.9593866
5616;0.04627049;0.9593945
5624;0.04594016;0.9594001
5632;0.04694855;0.9604796
5640;0.04728353;0.9604801
5648;0.04727614;0.9600567
5656;0.04764068;0.9604818
5664;0.04763544;0.9600595
5672;0.04796493;0.9604895
5680;0.04795444;0.9600579
5688;0.04818761;0.9604986
5696;0.04823858;0.9600715
5704;0.047957;0.9597165
5712;0.04727352;0.9597165
5720;0.0476352;0.9597135
5728;0.04762661;0.9593945
5736;0.0472647;0.9593866
5744;0.04726154;0.9591247
5752;0.04694855;0.959383
5760;0.04694849;0.9591216
5768;0.04724997;0.9588813
5776;0.04663557;0.9591247
5784;0.04627739;0.9591482
5792;0.04593164;0.9591436
5800;0.04664713;0.9588813
5808;0.04561023;0.9591737
5816;0.04694849;0.9588794
5824;0.04723448;0.9586681
5832;0.04666269;0.9586681
5840;0.04563355;0.9594169
5848;0.04532097;0.9592138
5856;0.04694855;0.9586617
5864;0.04721475;0.958509
5872;0.04668236;0.958509
5880;0.04694855;0.9585031
5888;0.04718733;0.9583428
5896;0.04670978;0.9583428
5904;0.04694855;0.9583377
5912;0.04715669;0.9581685
5920;0.04674041;0.9581685
5928;0.04694855;0.9581647
5936;0.04712963;0.9580077
5944;0.04676747;0.9580077
5952;0.04694855;0.9580045
5960;0.04710537;0.9578466
5968;0.04679173;0.9578466
5976;0.04694855;0.957844
5984;0.04708755;0.9576884
5992;0.04680955;0.9576884
6000;0.04694855;0.9576892
6008;0.04707402;0.9575085
6016;0.04682314;0.9575085
6024;0.04694855;0.9575089
6032;0.04694855;0.9573282
6040;0.04706907;0.9573287
6048;0.04682803;0.9573287
6056;0.04694849;0.9571524
6064;0.04707873;0.9571479
6072;0.04719383;0.957309
6080;0.04681838;0.9571479
6088;0.04670328;0.957309
6096;0.04720867;0.9571223
6104;0.04732811;0.9572762
6112;0.04733682;0.9570808
6120;0.04694855;0.9569931
6128;0.04668844;0.9571223
6136;0.04656899;0.9572762
6144;0.04656023;0.9570808
6152;0.04721838;0.9569245
6160;0.04736465;0.9568537
6168;0.04709023;0.9569702
6176;0.04680681;0.9569702
6184;0.04667872;0.9569245
6192;0.04653239;0.9568537
6200;0.04694855;0.9568308
6208;0.04709482;0.9567965
6216;0.04722512;0.9567279
6224;0.04680228;0.9567965
6232;0.04667199;0.9567279
6240;0.04694855;0.9566547
6248;0.04736698;0.9566433
6256;0.04752004;0.9567576
6264;0.04708797;0.9566182
6272;0.04680902;0.9566182
6280;0.04653007;0.9566433
6288;0.04637706;0.9567576
6296;0.04722512;0.9565427
6304;0.04750705;0.9564928
6312;0.04769397;0.9564695
6320;0.04694855;0.9564696
6328;0.04667199;0.9565427
6336;0.04638994;0.9564928
6344;0.04620314;0.9564695
6352;0.0473628;0.9564424
6360;0.04765439;0.9563076
6368;0.04785013;0.956279
6376;0.04680681;0.9564375
6384;0.0465343;0.9564424
6392;0.04624271;0.9563076
6400;0.04604697;0.956279
6408;0.04748857;0.9563035
6416;0.04779983;0.9561428
6424;0.04802984;0.9561465
6432;0.0466696;0.9563621
6440;0.04640847;0.9563035
6448;0.04609728;0.9561428
6456;0.0458672;0.9561465
6464;0.04761273;0.9561296
6472;0.04795909;0.9559872
6480;0.04821897;0.9560392
6488;0.04654747;0.9562599
6496;0.04628444;0.9561296
6504;0.04593813;0.9559872
6512;0.04567814;0.9560392
6520;0.04774797;0.9559914
6528;0.04643255;0.9561412
6536;0.04614913;0.9559914
6544;0.04631591;0.9559979
6552;0.04576457;0.9558739
6560;0.04600441;0.9558501
6568;0.04619926;0.9558529
6576;0.04557228;0.9557631
6584;0.04547775;0.9559448
6592;0.04537487;0.9556744
6600;0.04525995;0.9558725
6608;0.0451659;0.9555802
6616;0.04503477;0.9557956
6624;0.04493082;0.9554871
6632;0.04479182;0.9557264
6640;0.04466772;0.9554031
6648;0.0445323;0.9556595
6656;0.04439747;0.955295
6664;0.04424798;0.9556046
6672;0.04409313;0.9551947
6680;0.04394197;0.9555501
6688;0.04368854;0.9551047
6696;0.04357421;0.9555597
